,f_name,k,inds,frame_number
114,C-alpha,37,[1362  779 2709 ... 2589 1933 1502],"[272200, 155600, 541600, 73200, 354800, 199600, 311600, 4800, 423400, 598600, 449600, 499400, 118600, 370200, 471200, 97800, 183600, 126200, 249800, 330200, 7600, 175000, 289800, 27000, 231000, 567600, 57000, 145000, 438000, 219200, 560000, 441800, 400000, 64800, 517600, 386400, 300200]"
115,C-alpha,38,[ 487 2422 1933 ... 2961  568 2801],"[97200, 484200, 386400, 287600, 200800, 61400, 354800, 567600, 27000, 300200, 316400, 145000, 421800, 217600, 450200, 52400, 1800, 332600, 125600, 183600, 522000, 589600, 412600, 517600, 226000, 541600, 441800, 7600, 243200, 370200, 468200, 163800, 271800, 308200, 73200, 592000, 113400, 560000]"
116,C-alpha,39,[2001  594 2881 ...  361  813  632],"[400000, 118600, 576000, 147000, 370200, 57000, 300200, 499400, 211000, 272200, 177400, 311600, 541600, 560000, 598600, 440000, 27000, 354800, 421800, 73200, 233800, 386400, 7600, 445000, 330200, 517600, 450200, 183600, 600, 249800, 415400, 564200, 469400, 202600, 225400, 105600, 72000, 162400, 126200]"
117,torsion angles,1,[2737],[547200]
118,torsion angles,2,[1714  620],"[342600, 123800]"
119,torsion angles,3,[ 620 1294 1719],"[123800, 258600, 343600]"
120,torsion angles,4,[ 324 1294 1719  986],"[64600, 258600, 343600, 197000]"
121,torsion angles,5,[2809 1719  986 2123  324],"[561600, 343600, 197000, 424400, 64600]"
122,torsion angles,6,[ 977 2809 1719 2123  888  324],"[195200, 561600, 343600, 424400, 177400, 64600]"
123,torsion angles,7,[ 888  324 2123  977 1754 1994 2985],"[177400, 64600, 424400, 195200, 350600, 398600, 596800]"
124,torsion angles,8,[2123  630 2985  504 1754 1994  482  977],"[424400, 125800, 596800, 100600, 350600, 398600, 96200, 195200]"
125,torsion angles,9,[1754  630 1195 2557  504  977 1994  482 2985],"[350600, 125800, 238800, 511200, 100600, 195200, 398600, 96200, 596800]"
126,torsion angles,10,[ 804 1195 1754  382 2985  153  658 1994  977 2557],"[160600, 238800, 350600, 76200, 596800, 30400, 131400, 398600, 195200, 511200]"
